"Nº";"Nome informado";"Nome sugerido";"Status";"CNPJ";"Telefone";"Responsável";"Categoria";"Cidade";"Abordagem";"Temperatura";"Observações";"Origem"
"1";"Casa de Carnes Rubinho";"Casa de Carnes Rubinho";"NOVO";"";"(16) 3610-5095";"";"Açougue";"Ribeirão Preto";"";"";"R. Aurora, 544 - Vila Tibério (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"2";"Casa de Carnes D Campos";"Casa de Carnes D Campos";"NOVO";"";"(16) 3625-4299";"";"Açougue";"Ribeirão Preto";"";"";"R. Bernardino de Campos, 756 - Centro (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"3";"Casa Carnes Interlagos";"Casa Carnes Interlagos";"NOVO";"";"(16) 3629-6979";"";"Açougue";"Ribeirão Preto";"";"";"R. Athaulfo Alves, 495 - Parque Anhanguera (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"4";"Casa de Carnes Beto Romão";"Casa de Carnes Beto Romão";"NOVO";"";"(16) 3626-7792";"";"Açougue";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"5";"Açougue do Luiz";"Açougue do Luiz";"NOVO";"";"(16) 3612-4283";"";"Açougue";"Ribeirão Preto";"";"";"R. João Bim, 814 - Vila Tamandaré (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"6";"MS Power Chip";"MS Power Chip";"NOVO";"";"(16) 3961-2016";"";"Auto elétrica";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"7";"Autoelétrico Beto";"Autoelétrico Beto";"NOVO";"";"(16) 3629-2019";"";"Auto elétrica";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"8";"Marquinho Autoelétrico";"Marquinho Autoelétrico";"NOVO";"";"(16) 3628-5537";"";"Auto elétrica";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"9";"Mecânica Porto União";"Mecânica Porto União";"NOVO";"";"(16) 3633-6056";"";"Oficina mecânica";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"10";"Aliados Auto Eletro";"Aliados Auto Eletro";"NOVO";"";"(16) 3627-8390";"";"Auto elétrica";"Ribeirão Preto";"";"";"Av. Dr. Plínio de Castro Prado, 417 (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"11";"Injetpower";"Injetpower";"NOVO";"";"(16) 3919-0791";"";"Injeção eletrônica";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"12";"Tapeçaria Dois Irmãos";"Tapeçaria Dois Irmãos";"NOVO";"";"(16) 3626-9096";"";"Tapeçaria";"Ribeirão Preto";"";"";"R. Fernão Sales - Campos Elíseos (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"13";"Auto Tapeçaria Soma";"Auto Tapeçaria Soma";"NOVO";"";"(16) 3630-3537";"";"Tapeçaria";"Ribeirão Preto";"";"";"R. Maranhão - Ipiranga (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"14";"Persianas Line Flex";"Persianas Line Flex";"NOVO";"";"(16) 3931-1041";"";"Persianas";"Ribeirão Preto";"";"";"R. Barão de Cotegipe - Vila Tibério (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"15";"Tapeçaria Inglesa";"Tapeçaria Inglesa";"NOVO";"";"(16) 3234-4050";"";"Tapeçaria";"Ribeirão Preto";"";"";"R. Laguna, 1297 - Jardim Paulistano (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"16";"Mira Distribuidora";"Mira Distribuidora";"NOVO";"";"(16) 3628-7077";"";"Distribuidora";"Ribeirão Preto";"";"";"R. Antônio Milena - Campos Elíseos (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"17";"Premici Distribuidora";"Premici Distribuidora";"NOVO";"";"(16) 3512-2700";"";"Distribuidora";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"18";"Ribercon Distribuidora";"Ribercon Distribuidora";"NOVO";"";"(16) 3624-5020";"";"Distribuidora";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"19";"Distribuidora Castelo";"Distribuidora Castelo";"NOVO";"";"(16) 3967-1646";"";"Distribuidora de alimentos";"Ribeirão Preto";"";"";"R. Clemente Bartolomucci - Jardim Zara (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"20";"Distribuidora de Bebidas DDL";"Distribuidora de Bebidas DDL";"NOVO";"";"(16) 3442-4230";"";"Distribuidora de bebidas";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"21";"Refrigeração Caldana";"Refrigeração Caldana";"NOVO";"";"(16) 3610-6943";"";"Refrigeração comercial";"Ribeirão Preto";"";"";"R. Cel. Luiz da Cunha - Vila Tibério (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"22";"Zanotti e Multi Frio";"Zanotti e Multi Frio";"NOVO";"";"(16) 3961-1804";"";"Refrigeração comercial";"Ribeirão Preto";"";"";"R. José de Alencar, 436 - Campos Elíseos (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
