"Nº";"Nome informado";"Nome sugerido";"Status";"CNPJ";"Telefone";"Responsável";"Categoria";"Cidade";"Abordagem";"Temperatura";"Observações";"Origem"
"1";"Metaljunta";"Metaljunta";"NOVO";"";"(16) 3637-0888";"";"Metalurgia";"Ribeirão Preto";"";"";"Av. Luzitana, 344 - Parque Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"2";"Usinagem Ribeirão";"Usinagem Ribeirão";"NOVO";"";"(16) 99174-8615";"";"Usinagem";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"3";"Grupo Movimente";"Grupo Movimente";"NOVO";"";"(16) 3237-9657";"";"Transportadora";"Ribeirão Preto";"";"";"Via Anhanguera km 320 - Distrito Empresarial Luiz Roberto Jabali (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"4";"RDR Soluções Logísticas";"RDR Soluções Logísticas";"NOVO";"";"(16) 3601-1200";"";"Logística";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"5";"Risso Transportadora";"Risso Transportadora";"NOVO";"";"(16) 3965-9100";"";"Transportadora";"Ribeirão Preto";"";"";"R. Gen. Augusto Soares dos Santos - Parque Industrial Lagoinha (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"6";"Pizzaria Ribeirão";"Pizzaria Ribeirão";"NOVO";"";"(16) 3621-5225";"";"Pizzaria";"Ribeirão Preto";"";"";"R. Inácio Luiz Pinto, 245 - Alto da Boa Vista (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"7";"Pizzaria Três Irmãos";"Pizzaria Três Irmãos";"NOVO";"";"(16) 3632-4848";"";"Pizzaria";"Ribeirão Preto";"";"";"Av. do Café, 549 - Vila Amélia (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"8";"Pizzaria Pereira";"Pizzaria Pereira";"NOVO";"";"(16) 3615-4495";"";"Pizzaria";"Ribeirão Preto";"";"";"R. Daniel Esteves, 238 - Jd. Orestes Lopes de Camargo (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"9";"CaramuruCAR";"CaramuruCAR";"NOVO";"";"(16) 3623-5554";"";"Oficina mecânica";"Ribeirão Preto";"";"";"Av. Caramuru, 999 - Jardim Sumaré (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"10";"Oficina Centrovel (Euro Repar)";"Oficina Centrovel (Euro Repar)";"NOVO";"";"(16) 3234-7040";"";"Oficina mecânica";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
