"Nº";"Nome informado";"Nome sugerido";"Status";"CNPJ";"Telefone";"Responsável";"Categoria";"Cidade";"Abordagem";"Temperatura";"Observações";"Origem"
"1";"Valmac";"Valmac";"OK";"";"";"";"Indústria/Metalurgia";"Ribeirão Preto";"";"";"";"Empresas Gerais"
"2";"Açougue Almir Rodrigues";"Açougue Almir Rodrigues";"OK";"";"";"";"Açougue";"Ribeirão Preto";"";"";"";"Empresas Gerais"
"3";"A Toca";"A Toca";"OK";"";"";"";"";"Ribeirão Preto";"";"";"";"Empresas Gerais"
"4";"Motel A2";"Motel A2";"OK";"";"";"";"Hotel/Motel";"Ribeirão Preto";"";"";"";"Empresas Gerais"
"5";"Alubri Lux";"Alubri Lux";"NOME A VALIDAR";"";"";"";"";"Ribeirão Preto";"";"";"";"Empresas Gerais"
"6";"Delboni Gastronomia";"Delboni Gastronomia";"OK";"67.265.344/0001-01";"(16) 97404-0202";"Debora";"Food";"Ribeirão Preto";"PAP";"Morno";"";"Empresas Gerais"
"7";"Geo Agri";"Geo Agri";"OK";"10.474.704/0001-50";"(16) 3965-8220";"Ana";"Agro";"Ribeirão Preto";"PAP";"Frio";"";"Empresas Gerais"
"8";"Nicolucci Materiais Elétricos";"Nicolussi Materiais Elétricos";"OK";"50.427.103/0001-00";"(16) 2105-0999";"";"Eletrica";"Ribeirão Preto";"PAP";"Morno";"";"Empresas Gerais"
"9";"Flairs Coquetelaria";"Flairs Coquetelaria";"OK";"17.827.234/0001-00";"(16) 99150-4000";"Zeca";"Bebidas";"Ribeirão Preto";"PAP";"Morno";"";"Empresas Gerais"
"10";"Mariê Steak & Burguer";"Marié Burguer";"OK";"48.723.650/0001-91";"(16) 3900-1454";"Mariê";"Hamburgueria";"Ribeirão Preto";"PAP";"Morno";"";"Empresas Gerais"
"11";"Koppert Brasil";"Copert";"OK";"03.779.255/0010-83";"(19) 2106-7700";"";"Escritorio";"Ribeirão Preto";"PAP";"Morno";"";"Empresas Gerais"
