Farmácia de manipulação	Farmácia da Terra	1639631888	Av. Dom Pedro I - Ipiranga
Farmácia de manipulação	A Pharmaceutica	1636364449	R. Barão do Amazonas - Centro
Farmácia de manipulação	Sanre Farmácia de Manipulação	1636365118	R. Campos Salles - Centro
Farmácia de manipulação	Manipularium Fórmulas	1639311616	R. Eliseu Guilherme, 1034 - Jardim Sumaré
Farmácia de manipulação	Farmácia Pharmatrix	1636361398	Av. Portugal - Jardim São Luiz
Farmácia	Vivimed	1636328001	Ribeirão Preto
Distribuidora de medicamentos	Medicinalis Distribuição	1634427300	Ribeirão Preto
Automação comercial	Betamaq Equipamentos Eletrônicos	1636281215	R. Humberto de Campos - Campos Elíseos
Equipamentos para laboratório	Albras Equipamentos para Laboratórios	1632361520	Ribeirão Preto
Padaria	São Marcos Panificadora	1636298114	R. Dr. Urandy Vieira de Souza Leite - Conjunto Habitacional
Box e vidros	Brilhobox	1636337963	Ribeirão Preto
Vidraçaria	Vidraçaria Vidrobox	1636269007	R. Marquês de Pombal, 2548 - Campos Elíseos
Radiadores	Albieri Radiadores	1636264433	Ribeirão Preto
Máquinas e equipamentos	AGMAQ	1636267766	R. Ângelo Maggioni - Parque Industrial
Vidraçaria	Vidro Fort	1636129494	R. São Paulo, 1010 - Campos Elíseos
Vidraçaria	A Center Vidros	1639613001	Av. Eduardo Andrea Matarazzo, 803 - Ipiranga
Vidraçaria	Riber Vidros	1636260720	Ribeirão Preto
Sapataria e costura	Hora Certa Sapataria Costura e Bordado	1636320840	Av. Nove de Julho - Centro
Alta costura	Dalvitta Alta Costura	1636274881	Ribeirão Preto
Moto táxi	Moto Taxi Vila Virgínia	1639141616	Vila Virgínia
Transportadora	Ribe Transporte	1636269394	Ribeirão Preto
Transportadora	Pajuçara Transportes	1639653802	R. Gen. Augusto Soares dos Santos - Parque Industrial Lagoinha
Moto táxi	Moto Taxi Park	1639197348	Av. Luzitana - Parque Ribeirão Preto
Transportadora	RJ Transportes	1639795122	R. João Arcadepani Filho - Nova Ribeirânia
