Nome;Telefone;Bairro;Nicho
AABB;(16) 3623-5041;;Academia
Academia Aqua Fisio;(16) 3636-8101;;Academia
Atividade Academia;(16) 3421-6663;;Academia
Ritmo Academia;(16) 3635-5578;;Academia
Skyfit Academia;(16) 99705-3380;Campos Elíseos;Academia
Academia Lofty Sport;(16) 3911-5861;Jardim Nova Aliança;Academia
Crossfit Celeiro;(16) 99638-0108;Jardim Paulista;Academia
Allegro Acessórios;(16) 3236-3632;;Acessórios
Cristal Acessórios;(16) 3236-6676;Jardim Palma Travassos;Acessórios
Rai Acessórios;(16) 3610-0825;;Acessórios celular
Forte Acessórios Industriais;(16) 3013-1554;;Acessórios industriais
Casa da Ração;(16) 3626-6209;Campos Elíseos;Agropecuária
Serv Agro;(16) 3635-2026;Centro;Agropecuária
Dinagro Agropecuária;(16) 3629-1110;Recreio Anhanguera;Agropecuária
Agrocac;(16) 3323-4014;Vila Mariana;Agropecuária
Bunge Alimentos;(16) 3995-1280;;Alimentos
Dalvitta Alta Costura;(16) 3627-4881;;Alta costura
Tratto Sottile Costumes Rental;(16) 99392-8198;Jardim Sumaré;Aluguel de trajes
Aparelhos Auditivos Sonido;(16) 3941-3015;;Aparelhos auditivos
Casa da Borracha;(16) 3625-0505;Centro;Artefatos de borracha
Arte e Vela;(16) 3289-8639;;Artigos religiosos
Autorizada Docol;(16) 3941-3430;;Assistência técnica
R C Service;(16) 3966-3724;;Assistência técnica
Eletroport Assistência Técnica de Eletrodomésticos;(16) 3612-0868;Centro;Assistência técnica
Róxinha Centro Técnico;(16) 3964-5975;Centro;Assistência técnica
Eletrônica Rios;(16) 3635-4053;Vila Seixas;Assistência técnica
Sucesso Assistência Técnica;(16) 3234-0961;Vila Seixas;Assistência técnica
AFPESP Ribeirão Preto;(16) 3610-3306;;Associação
AVA Animal Life Association;(16) 3632-1054;;Associação
Sociedade União dos Proprietários;(16) 3610-4040;;Associação
Aliados Auto Eletro;(16) 3627-8390;;Auto elétrica
Autoelétrico Beto;(16) 3629-2019;;Auto elétrica
Injetpower;(16) 3919-0791;;Auto elétrica
MS Power Chip;(16) 3961-2016;;Auto elétrica
Marquinho Autoelétrico;(16) 3628-5537;;Auto elétrica
Auto Elétrica Silva;(16) 3630-3944;Sumarezinho;Auto elétrica
Auto Socorro Ribeirão;(16) 99321-3008;;Auto socorro
Auto Moto Escola Zezinho;(16) 3963-3063;;Autoescola
Autoescola Neves;(16) 3236-3334;Centro;Autoescola
Auto Escola Aprovar;(16) 3442-9971;Jardim São Luiz;Autoescola
Betamaq Equipamentos Eletrônicos;(16) 3628-1215;Campos Elíseos;Automação comercial
PPA Ribeirão Preto;(16) 3969-1010;;Automação de portões
Biela Auto Peças;(16) 3628-4978;;Autopeças
Copecar;(16) 3637-2971;;Autopeças
Coyote Escapamentos e Acessórios;(16) 3234-6593;;Autopeças
Velo Auto;(16) 3628-1119;;Autopeças
CMG Direção Hidráulica;(16) 3961-3602;Centro;Autopeças
Drugovich Auto Peças;(16) 3211-8080;Jardim do Trevo;Autopeças
Riberauto;(16) 3638-4848;Parque Industrial Lagoinha;Autopeças
Açaí na Tigela Loja 03;(16) 3234-3061;;Açaí/Sorveteria
Casa de Carnes Beto Romão;(16) 3626-7792;;Açougue
Casa do Açougueiro Francisco Junqueira;(16) 3610-5884;;Açougue
Casa de Carnes D Campos;(16) 3625-4299;Centro;Açougue
Casa Carnes Interlagos;(16) 3629-6979;Parque Anhanguera;Açougue
Açougue do Luiz;(16) 3612-4283;Vila Tamandaré;Açougue
Casa de Carnes Rubinho;(16) 3610-5095;Vila Tibério;Açougue
Bar da Árvore;(16) 3289-4916;;Bar
Bar do Nei;(16) 3610-5891;;Bar
Bar e Mercearia Menino da Tábua;(16) 3441-5850;Adelino Simioni;Bar
Toca da Pantera;(16) 3103-0221;Vila Tibério;Bar
Barba Negra Barbearia;(16) 3289-5812;Jardim Sumaré;Barbearia
Barbearia Fio D Ouro;(16) 99320-0467;Residencial e Comercial Palmares;Barbearia
Bike Center Ribeirão;(16) 3623-4470;;Bicicletaria
Casa do Bordado;(16) 3625-6847;;Bordados
Retroq Brechó;(16) 3632-4037;;Brechó
Sítio Manga Rosa Bonfim Paulista;(16) 3972-0640;Bonfim Paulista;Buffet e eventos
Buffet Pallato;(16) 3637-8709;Jardim Sumaré;Buffet e eventos
Quinta Linda Espaço para Eventos;(16) 3610-5686;Recreio Anhanguera;Buffet e eventos
Taiwan Centro de Eventos;(16) 3623-7111;Royal Park;Buffet e eventos
Buffet Cristal Eventos;(16) 3630-7458;Vila Monte Alegre;Buffet e eventos
Nova Ribeirão;(16) 3638-0602;Quintino Facci II;Calçados
