Etapa;Item;Descrição;Unidade;Quantidade;Ocorrências;Valor unitário (R$);Valor total (R$);Justificativa de precificação
ETAPA 1 — PRÉ-PRODUÇÃO E IMPLANTAÇÃO;;;;;;;;
1;1.01;Coordenação geral — etapa de pré-produção;mês;1;2;7500,00;15000,00;Profissional sênior responsável pela direção do programa, interlocução institucional e conformidade normativa. Referência: CBO 262105 (produtor cultural) acrescida de responsabilidade de coordenação de programa.
1;1.02;Produção executiva — etapa de pré-produção;mês;1;2;6000,00;12000,00;Responsável por contratos, cotações, logística e implantação dos núcleos.
1;1.03;Coordenação pedagógica — etapa de pré-produção;mês;1;2;5500,00;11000,00;Desenho da metodologia de mediação de leitura e da trilha formativa.
1;1.04;Consultoria de diagnóstico territorial e linha de base;serviço;1;1;14000,00;14000,00;Pesquisa de campo nos territórios: perfil populacional, equipamentos existentes, escolas parceiras e linha de base dos indicadores de leitura. Produto: relatório diagnóstico que baliza a avaliação de impacto.
1;1.05;Elaboração de metodologia e material pedagógico (3 cadernos);produto;3;1;7000,00;21000,00;Caderno do Mediador, Caderno de Rodas de Leitura e Caderno de Acessibilidade na Mediação. Inclui redação, revisão, ilustração e diagramação acessível.
1;1.06;Consultoria especializada em acessibilidade — plano e laudo;serviço;1;1;12000,00;12000,00;Elaboração do Plano de Acessibilidade (física, comunicacional, atitudinal e metodológica) e laudo dos espaços conforme ABNT NBR 9050. Exigência da IN MinC nº 29/2026.
1;1.07;Articulação comunitária e mobilização de participantes;mês;1;2;3500,00;7000,00;Agente de território responsável pela mobilização de famílias, escolas, associações de bairro e equipamentos públicos socioassistenciais.
1;1.08;Adequação e adaptação acessível dos espaços — 2 núcleos;núcleo;2;1;15000,00;30000,00;"Rampa, sinalização tátil e visual, piso podotátil, adequação de sanitário, pintura, instalação elétrica e iluminação. Espaços cedidos em regime de parceria; o recurso custeia exclusivamente a adequação."
1;1.09;Mobiliário e equipamentos dos núcleos — 2 núcleos;núcleo;2;1;19000,00;38000,00;Estantes, mesas, cadeiras, pufes, 2 computadores com leitor de tela, projetor, caixa de som, lupa eletrônica e armário. Média de três cotações.
1;1.10;Identidade visual, projeto gráfico e sinalização do programa;serviço;1;1;13000,00;13000,00;Marca do programa, manual de aplicação, sinalização dos núcleos e templates acessíveis (contraste mínimo AA e tipografia legível).
;;SUBTOTAL ETAPA 1;;;;;173000,00;
ETAPA 2 — PRODUÇÃO E EXECUÇÃO;;;;;;;;
2;2.01;Coordenação geral — etapa de produção;mês;1;12;7500,00;90000,00;Direção do programa durante os 12 meses de operação continuada.
2;2.02;Produção executiva — etapa de produção;mês;1;12;6000,00;72000,00;Gestão operacional, contratos, compras e logística.
2;2.03;Coordenação pedagógica — etapa de produção;mês;1;12;5500,00;66000,00;Supervisão metodológica, formação continuada e avaliação pedagógica.
2;2.04;Bibliotecário(a) responsável técnico (registro no CRB);mês;1;12;5000,00;60000,00;Formação e tratamento técnico do acervo, catalogação, política de empréstimo e capacitação das equipes. Exigência técnica para acervos abertos ao público.
2;2.05;Mediador-coordenador de núcleo;profissional/mês;2;12;3500,00;84000,00;Um profissional por núcleo, responsável pelo funcionamento diário, pela programação e pela supervisão dos jovens mediadores.
2;2.06;Assistente de produção;mês;1;12;2800,00;33600,00;Apoio administrativo e logístico à operação dos núcleos e do circuito.
2;2.07;Articulador comunitário — etapa de produção;mês;1;12;3500,00;42000,00;Manutenção das parcerias territoriais e busca ativa de participantes.
2;2.08;Analista de monitoramento e avaliação;mês;1;12;3800,00;45600,00;"Coleta, tratamento e análise dos indicadores; produção dos relatórios de impacto exigidos pelo patrocinador e pelo MinC."
2;2.09;Bolsa-formação Jovem Mediador de Leitura;bolsa/mês;24;6;700,00;100800,00;"24 jovens de 16 a 29 anos moradores dos territórios, em trilha formativa de 6 meses. Bolsa de incentivo à permanência; não configura vínculo empregatício, conforme instrumento de bolsa-formação."
2;2.10;Oficineiros — escrita criativa, slam e contação de histórias;hora/aula;288;1;165,00;47520,00;288 horas/aula distribuídas nos 2 núcleos ao longo de 12 meses (6h semanais por núcleo). Valor hora/aula compatível com tabelas referenciais de projetos culturais.
